,Variable_A,Variable_B,Variable_C,Variable_D
2023-01-01,1.764052345967660,0.5826992045223390,-1.4538055104373400,2.240893199201460
2023-01-02,1.8675579901499700,0.3758305020947870,0.09567736164880240,-0.1513572082976980
2023-01-03,-0.10321885179355800,0.3317221649257640,-0.6890874011743430,1.454273506962980
2023-01-04,0.7610377251469930,0.5586652713096410,-0.3038367695653480,0.33367432737426700
2023-01-05,1.4940790731576100,-0.1372296887597120,0.49363182176163800,-0.8540957393017250
2023-01-06,-2.5529898158340800,-1.0987540115451500,0.3451349712264120,-0.7421650204064420
2023-01-07,2.2697546239876100,1.542137223237740,-0.358761662852265,-0.1871838500258340
2023-01-08,1.5327792143584600,0.7958524017700440,-0.7350440810140580,0.37816251960217400
2023-01-09,-0.8877857476301130,-0.5364197093197270,-0.46319165756409200,0.15634896910398000
2023-01-10,1.2302906807277200,0.21132109655568300,0.6020403469021630,-0.30230275057533600
2023-01-11,-1.0485529650670900,-1.2475438323152400,-1.0969646947952700,1.9507753952317900
2023-01-12,-0.5096521817516540,0.145322883794187,-0.13175402916444000,0.7774903558319100
2023-01-13,-1.6138978475579500,-0.9615061461648300,-0.6704952448798340,0.386902497859262
2023-01-14,-0.510805137568873,-0.3721358995562830,-0.8904197163070980,0.42833187053041800
2023-01-15,0.06651722238316790,0.8996192046511510,0.055901920150771800,-0.3627411659871380
2023-01-16,-0.672460447775951,0.0060203295416196800,1.2611435076209800,-1.7262826023316800
2023-01-17,0.17742614225375300,0.27412557176742700,-0.1743404963950940,0.4627822555257740
2023-01-18,-0.9072983643832420,-0.38261827959800300,0.22410360926022800,0.12898291075741100
2023-01-19,1.1394006845433000,1.3296977726545400,0.5646509649003840,-0.6848100909403130
2023-01-20,-0.8707971491818820,0.4243960791171560,0.4834848946358680,0.05616534222974540
2023-01-21,-1.1651498407833600,-0.1178223646519140,1.0085888761095600,-1.5362436862772200
2023-01-22,1.4882521937956000,1.0352383925967600,-0.14797638034389300,-0.17992483581235100
2023-01-23,-1.0707526215105400,-1.5826778463583400,-1.3600770139160300,1.2224450703824300
2023-01-24,0.2082749780768600,0.16599844615518300,-0.7612926251629990,0.7065731681919480
2023-01-25,0.010500020720820500,-0.059803466736441800,-0.20875716611575400,0.40198936344470200
2023-01-26,1.8831506970562500,0.9885519632209120,-0.945193772916697,0.9693967081580110
2023-01-27,-1.17312340511416,-0.11503865889582100,0.8042411070691080,-0.7474548114407580
2023-01-28,1.9229420264803800,-0.4083675703545860,-0.2105329489815370,0.9060446582753850
2023-01-29,-0.8612256850547030,-0.7152688692624440,-1.2725955486254600,0.8024563957963950
2023-01-30,0.947251967773748,0.6085781613572550,-0.38632897994727400,0.9222066715665270
2023-01-31,0.37642553115562900,-0.04521000744856650,-1.6003513452794400,1.3263858966870300
2023-02-01,-0.6945678597313660,-1.0557369864288100,-1.1740348934084500,1.8492637284793400
2023-02-02,0.6722947570124360,0.7706291219546150,-0.010013264646174100,0.5392491912918170
2023-02-03,-0.6743326606573760,-0.19873037740562400,-0.45404647455947700,0.6764332949465000
2023-02-04,0.5765908166149410,-0.19725687691477200,0.3812363041500820,-1.0930615087305100
2023-02-05,-1.4912575927056100,-0.5882201940948910,-0.6201513671078060,0.6350314368921060
2023-02-06,2.383144774863940,1.602365243456870,-0.8604050353803670,1.117016288095850
2023-02-07,-1.3159074105115200,-0.6553073821060800,-1.2540133402915400,1.7133427216493700
2023-02-08,-0.7447548220484400,0.027904990691278400,0.403565748223475,-0.6634782863621070
2023-02-09,1.126635922106510,0.6024480486340840,0.27350919752831000,-0.43782004474443400
2023-02-10,-0.4980324506923050,-0.44663071667333000,0.0027581457034170400,0.0875512413851909
2023-02-11,-1.225435518830170,-1.1924280176150400,0.7187676716243620,-1.5447710967776100
2023-02-12,1.1880297923523000,0.5510495126903450,-0.2957153060211810,0.3187276529430210
2023-02-13,0.8568306119026910,0.5255617749742310,-0.021637811690427300,0.681594518281627
